Hora,Temperatura (ºC),Humidade (%),CO2
13:43,33.37,42.92,350
13:44,33.26,41.82,350
Hora,Temperatura (ºC),Humidade (%),CO2
13:49,32.74,42.84,350
13:50,32.78,41.43,350
13:51,32.85,41.67,350
13:52,32.94,42.75,350
13:53,32.98,42.13,350
13:54,33.01,42.71,350
13:55,33.07,41.69,350
13:56,33.14,42.15,350
13:57,33.39,43.37,350
13:58,33.63,42.9,350
13:59,33.47,42.54,350
14:00,33,43.49,350
14:01,32.81,44.05,350
14:02,32.62,44.7,350
14:03,32.71,43.21,350
14:04,32.71,42.74,350
14:05,32.67,43.45,350
14:06,32.76,45.27,350
14:07,33.01,43.19,350
14:08,33.18,42.8,350
14:09,33.27,42.75,350
14:10,33.51,43.22,350
14:11,33.64,42.69,350
14:12,33.59,42.27,350
14:13,33.54,42.5,350
14:14,33.27,43.13,350
14:15,33.27,43.54,350
14:16,33.39,41.53,350
14:17,33.48,41.76,350
14:18,33.45,41.85,350
14:19,33.38,41.19,350
14:20,33.4,42.14,350
14:21,33.6,42.2,350
14:22,33.81,41.66,350
14:23,33.95,41.39,350
14:24,34.02,42.23,350
14:25,34.18,41.85,350
14:26,34.24,40.85,350
14:27,34.22,40.37,350
14:28,34.23,39.42,350
14:29,33.67,39.05,350
14:30,33.44,38.18,350
14:31,33.37,39.46,350
14:32,33.25,39.44,350
14:33,33.39,38.2,350
14:34,33.58,38.66,350
14:35,33.55,39.71,350
14:36,33.58,40.22,350
14:37,33.58,38.79,350
14:38,33.63,38.54,350
14:39,33.66,40.04,350
14:40,33.88,41.22,350
14:41,34.08,39.6,350
14:42,34.29,38.91,350
14:43,34.1,38.41,350
14:44,33.65,37.04,350
14:45,33.67,37.31,350
14:46,33.67,39.05,350
14:47,33.77,36.87,350
14:48,33.95,37.6,350
14:49,34.25,37.31,350
14:50,34.33,37.15,350
14:51,34.46,38.85,350
14:52,34.63,37.16,350
14:53,34.67,36.48,350
14:54,34.67,37.4,350
14:55,34.66,38.02,350
14:56,34.73,36.99,350
14:57,34.72,36.96,350
14:58,34.81,38.21,350
14:59,34.9,37.01,350
15:00,34.71,36.34,350
15:01,34.57,39.39,350
15:02,34.47,37.62,350
15:03,34.25,37.72,350
15:04,34.3,39.39,350
15:05,34.24,38.3,350
15:06,34.02,37.15,350
15:07,33.93,38.56,350
15:08,33.96,37.46,350
15:09,33.92,38.5,350
15:10,33.8,37.71,350
15:11,33.77,36.22,350
15:12,33.93,37.6,350
15:13,34.11,37.56,350
15:14,34.19,37.03,350
15:15,34.18,36.66,350
15:16,34.1,36.95,350
15:17,34.01,37.42,350
15:18,33.99,37.49,350
15:19,33.95,38.51,350
15:20,33.94,37.06,350
15:21,34.04,37.42,350
15:22,34.22,37.35,350
15:23,34.26,36.66,350
15:24,34.18,38.88,350
15:25,34.04,39.7,350
15:26,34.02,39.6,350
15:27,34.1,39.74,350
15:28,34.16,41.3,350
15:29,34.3,41.14,350
15:30,34.4,39.61,350
15:31,34.18,39.15,350
15:32,34.18,38.5,350
15:33,34.09,39.2,350
15:34,34.25,37.82,350
15:35,34.39,39.2,350
15:36,34.71,38.7,350
15:37,35,37.95,350
15:38,35.26,37.6,350
15:39,35.35,37.61,350
15:40,35.03,36.03,350
15:41,34.76,34.87,350
15:42,34.23,32.13,350
15:43,34.41,33.03,350
15:44,34.44,33.55,350
15:45,34.45,34.04,350
15:46,34.45,36.92,350
15:47,34.43,34.57,350
15:48,34.33,34.73,350
15:49,34.41,34.87,350
15:50,34.49,36.08,350
15:51,34.56,34.42,350
15:52,34.26,33.1,350
15:53,34.3,34.16,350
15:54,34.48,34.18,350
15:55,34.53,33.81,350
15:56,34.43,32.87,350
15:57,34.47,32.56,350
15:58,34.39,32.3,350
15:59,34.18,31.88,350
16:00,34.34,31.74,350
16:01,34.23,31.8,350
16:02,34.18,31.84,350
16:03,34.21,32.13,350
16:04,34.3,32.74,350
16:05,34.36,32.14,350
16:06,34.3,34.52,350
16:07,34.42,31.49,350
16:08,34.53,32.4,350
16:09,34.44,31.01,350
16:10,34.42,30.4,350
16:11,34.34,32.51,350
16:12,34.4,31.9,350
16:13,34.55,33.58,350
16:14,34.83,32.36,350
16:15,34.85,31.1,350
16:16,34.89,32.32,350
16:17,34.97,32.88,350
16:18,34.82,33.77,350
16:19,34.59,32.72,350
16:20,34.55,32.97,350
16:21,34.56,33.69,350
16:22,34.66,32.78,350
16:23,34.7,34.44,350
16:24,34.76,33.35,350
16:25,34.82,33.69,350
16:26,34.84,30.98,350
16:27,34.85,32.84,350
16:28,34.98,32.21,350
16:29,34.95,31.71,350
16:30,34.99,33.51,350
16:31,35.13,31.68,350
16:32,34.95,32.8,350
16:33,34.72,32.62,350
16:34,34.65,32.9,350
16:35,34.4,33.15,350
16:36,34.27,34.03,350
16:37,34.39,34,350
16:38,34.59,34.26,350
16:39,34.76,33.71,350
16:40,34.63,33.31,350
16:41,34.7,31.73,350
16:42,34.66,32.22,350
16:43,34.73,32.01,350
16:44,34.92,33.32,350
16:45,35.13,31.72,350
16:46,35.05,32.33,350
16:47,34.83,32.48,350
16:48,34.63,31.68,350
16:49,34.45,32.26,350
16:50,34.32,31.94,350
16:51,34.18,32.37,350
16:52,34.18,32.16,350
16:53,34.18,32.04,350
16:54,34.32,33.39,350
16:55,34.55,33,350
16:56,34.47,32.28,350
16:57,34.44,32.1,350
16:58,34.49,32.36,350
16:59,34.45,32.26,350
17:00,34.47,31.96,350
17:01,34.29,31.76,350
17:02,34.15,31.4,350
17:03,34.22,31.97,350
17:04,34.38,33.84,350
17:05,34.34,31.25,350
17:06,34.27,32.49,350
17:07,34.32,33.68,350
17:08,34.4,32.51,350
17:09,34.46,33.21,350
17:10,34.27,32.85,350
17:11,34.18,32.13,350
17:12,34.18,31.84,350
17:13,34.26,31.97,350
17:14,34.02,31.62,350
17:15,33.94,31.72,350
17:16,33.98,32.07,350
17:17,34.04,33.6,350
17:18,34.11,31.62,350
17:19,34.24,32.29,350
17:20,34.22,31.76,350
17:21,34.15,33.01,350
17:22,34.13,33.62,350
17:23,34.25,32.33,350
17:24,34.3,33.15,350
17:25,34.31,32.55,350
17:26,34.44,33.6,350
17:27,34.48,32.65,350
17:28,34.29,32.41,350
17:29,34.18,32.69,350
17:30,34.18,32.94,350
17:31,34.12,33.03,350
17:32,34.1,33.64,350
17:33,34.11,33.93,350
17:34,34.11,34.13,350
17:35,34.16,33.1,350
17:36,34.11,33.56,350
17:37,34.09,33.4,350
17:38,34.07,34.13,350
17:39,34.11,33.84,350
17:40,34.1,34.37,350
17:41,34.18,33.7,350
17:42,34.18,34.15,350
17:43,34.18,34.26,350
17:44,34.27,34.71,350
17:45,34.4,35.25,350
17:46,34.37,34.52,350
17:47,34.42,34.84,350
17:48,34.33,34.84,350
17:49,34.32,33.92,350
17:50,34.31,34.84,350
17:51,34.18,34.96,350
17:52,34.02,34.49,350
17:53,34.17,35.98,350
17:54,34.27,34.31,350
17:55,34.34,34,350
17:56,34.3,34.36,350
17:57,34.43,34.48,350
17:58,34.44,34.36,350
17:59,34.32,34.8,350
18:00,34.38,35.18,350
18:01,34.52,35.91,350
18:02,34.57,35.47,350
18:03,34.43,35.14,350
18:04,34.55,36.73,350
18:05,34.74,35.73,350
18:06,34.78,35.66,350
18:07,34.8,35.04,350
18:08,34.83,36.25,350
18:09,34.76,36.27,350
18:10,34.63,35.88,350
18:11,34.59,36.15,350
18:12,34.61,35.03,350
18:13,34.63,36.17,350
18:14,34.61,36.01,350
18:15,34.51,35.74,350
18:16,34.28,35.54,350
18:17,34.33,36.92,350
18:18,34.34,35.59,350
18:19,34.31,35.52,350
18:20,34.32,37.12,350
18:21,34.28,36.28,350
18:22,34.22,36.8,350
18:23,34.28,37.54,350
18:24,34.36,37.19,350
18:25,34.32,37.5,350
18:26,34.31,37.7,350
18:27,34.34,38.25,350
18:28,34.3,38.3,350
18:29,34.13,38.09,350
18:30,33.96,38.89,350
18:31,33.85,39.18,350
18:32,33.84,39.31,350
18:33,33.81,39.72,350
18:34,33.89,39.21,350
18:35,33.78,39.01,350
18:36,33.56,38.83,350
18:37,33.4,39.76,350
18:38,33.47,39.03,350
18:39,33.57,38.59,350
18:40,33.57,38.76,350
18:41,33.58,38.31,350
18:42,33.55,38.08,350
18:43,33.49,38.21,350
18:44,33.44,38.21,350
18:45,33.45,38.01,350
18:46,33.47,38.38,350
18:47,33.43,38.44,350
18:48,33.36,37.83,350
18:49,33.29,38.71,350
18:50,33.27,39.05,350
18:51,33.26,40.11,350
18:52,33.16,39.98,350
18:53,33.06,40.16,350
18:54,33,40.63,350
18:55,32.82,41.2,350
18:56,32.69,41.72,350
18:57,32.63,42.19,350
18:58,32.52,42.44,350
18:59,32.35,42.82,350
19:00,32.4,43.47,350
19:01,32.29,43.5,350
19:02,32.17,44.23,350
19:03,31.94,44.48,350
19:04,31.82,44.46,350
19:05,31.75,45.2,350
19:06,31.71,45.75,350
19:07,31.68,45.65,350
19:08,31.63,45.62,350
19:09,31.58,45.38,350
19:10,31.59,45.85,350
19:11,31.6,45.82,350
19:12,31.56,45.9,350
19:13,31.51,45.97,350
19:14,31.45,45.73,350
19:15,31.35,45.87,350
19:16,31.27,45.54,350
19:17,31.18,45.78,350
19:18,31.06,45.99,350
19:19,31.07,45.62,350
19:20,31.04,46.33,350
19:21,30.98,46.07,350
19:22,30.82,46.11,350
19:23,30.81,46.71,350
19:24,30.82,46.78,350
19:25,30.67,46.69,350
19:26,30.57,47.03,350
19:27,30.63,47.4,350
19:28,30.55,47.64,350
19:29,30.53,47.58,350
19:30,30.42,47.75,350
19:31,30.37,48.12,350
19:32,30.34,48.64,350
19:33,30.29,48.37,350
19:34,30.24,48,350
19:35,30.13,48.24,350
19:36,30.04,48.81,350
19:37,30,49.36,350
19:38,29.9,49.03,350
19:39,29.83,49.31,350
19:40,29.75,49.67,350
19:41,29.66,49.92,350
19:42,29.59,50.09,350
19:43,29.53,50.16,350
19:44,29.48,50.4,350
19:45,29.43,50.7,350
19:46,29.38,50.83,350
19:47,29.35,50.95,350
19:48,29.27,50.98,350
19:49,29.18,50.71,350
19:50,29.13,51.12,350
19:51,29.1,51.36,350
19:52,29.05,51.51,350
19:53,28.98,51.81,350
19:54,28.91,52.02,350
19:55,28.85,52.25,350
19:56,28.81,52.29,350
19:57,28.78,52.44,350
19:58,28.71,52.53,350
19:59,28.64,52.92,350
20:00,28.55,53.28,350
20:01,28.47,52.92,350
20:02,28.47,52.92,350
20:03,28.45,53.15,350
20:04,28.37,53.15,350
20:05,28.35,53.34,350
20:06,28.31,53.66,350
20:07,28.23,53.7,350
20:08,28.19,53.75,350
20:09,28.15,53.99,350
20:10,28.07,54.17,350
20:11,28.01,54.5,350
20:12,27.98,54.73,350
20:13,27.9,54.67,350
20:14,27.8,54.91,350
20:15,27.77,55.12,350
20:16,27.76,55.3,350
20:17,27.72,55.33,350
20:18,27.66,55.53,350
20:19,27.57,55.68,350
20:20,27.51,55.98,350
20:21,27.46,56.24,350
20:22,27.43,56.21,350
20:23,27.42,56.3,350
20:24,27.42,56.3,350
20:25,27.41,56.4,350
20:26,27.36,56.63,350
20:27,27.3,56.84,350
20:28,27.19,57.04,350
20:29,27.21,57.1,350
20:30,27.13,57.43,350
20:31,27.04,57.66,350
20:32,26.98,58.04,350
20:33,26.97,58.1,350
20:34,26.91,58.17,350
20:35,26.89,58.4,350
20:36,26.85,58.69,350
20:37,26.79,58.78,350
20:38,26.75,59.04,350
20:39,26.7,59.28,350
20:40,26.67,59.37,350
20:41,26.71,59.4,350
20:42,26.72,59.25,350
20:43,26.72,59.4,350
20:44,26.63,59.72,350
20:45,26.57,59.9,350
20:46,26.55,60.02,350
20:47,26.52,60.2,350
20:48,26.42,60.49,350
20:49,26.35,60.69,350
20:50,26.32,60.9,350
20:51,26.28,61.04,350
20:52,26.23,61.39,350
20:53,26.18,61.58,350
20:54,26.16,61.78,350
20:55,26.08,61.9,350
20:56,26.04,62.07,350
20:57,25.98,62.37,350
20:58,25.95,62.55,350
20:59,25.97,62.55,350
21:00,25.94,62.69,350
21:01,25.84,62.98,350
21:02,25.8,63.19,350
21:03,25.74,63.33,350
21:04,25.66,63.68,350
21:05,25.59,63.92,350
21:06,25.58,63.98,350
21:07,25.61,63.92,350
21:08,25.55,64.12,350
21:09,25.57,64.15,350
21:10,25.5,64.38,350
21:11,25.37,64.73,350
21:12,25.39,64.82,350
21:13,25.38,64.91,350
21:14,25.31,65.15,350
21:15,25.31,65.29,350
21:16,25.29,65.32,350
21:17,25.27,65.47,350
21:18,25.27,65.44,350
21:19,25.28,65.47,350
21:20,25.23,65.61,350
21:21,25.17,65.87,350
21:22,25.14,66.06,350
21:23,25.08,66.17,350
21:24,25.06,66.44,350
21:25,25.02,66.61,350
21:26,24.95,66.78,350
21:27,24.96,66.86,350
21:28,24.96,66.89,350
21:29,24.91,66.99,350
21:30,24.85,67.15,350
21:31,24.79,67.29,350
21:32,24.83,67.21,350
21:33,24.81,67.41,350
21:34,24.8,67.24,350
21:35,24.75,67.51,350
21:36,24.7,67.7,350
21:37,24.65,67.79,350
21:38,24.64,67.84,350
21:39,24.56,68.01,350
21:40,24.49,68.08,350
21:41,24.42,68.36,350
21:42,24.34,68.54,350
21:43,24.35,68.43,350
21:44,24.38,68.27,350
21:45,24.34,68.54,350
21:46,24.26,68.56,350
21:47,24.28,68.51,350
21:48,24.25,68.51,350
21:49,24.2,68.67,350
21:50,24.15,68.78,350
21:51,24.2,68.45,350
21:52,24.24,68.29,350
21:53,24.21,68.45,350
21:54,24.09,68.7,350
21:55,24.06,68.81,350
21:56,24.08,68.81,350
21:57,24.07,68.78,350
21:58,24.01,68.91,350
21:59,23.95,68.97,350
22:00,23.9,69.16,350
22:01,23.92,69.13,350
22:02,23.93,69.08,350
22:03,23.98,68.91,350
22:04,23.98,68.89,350
22:05,23.98,68.82,350
22:06,24.01,68.61,350
22:07,24.02,68.55,350
22:08,24.03,68.33,350
22:09,24.08,67.95,350
22:10,24.16,67.73,350
22:11,24.08,68.01,350
22:12,24.02,68,350
22:13,24.02,67.95,350
22:14,24.06,67.79,350
22:15,24.02,67.89,350
22:16,23.93,68.14,350
22:17,23.95,67.86,350
22:18,23.92,67.95,350
22:19,23.89,68,350
22:20,24.01,67.4,350
22:21,24.15,66.99,350
22:22,24.08,67.18,350
22:23,24,67.34,350
22:24,24.01,67.28,350
22:25,23.94,67.34,350
22:26,23.82,67.61,350
22:27,23.72,67.82,350
22:28,23.79,67.53,350
22:29,23.94,67.01,350
22:30,23.9,67.01,350
22:31,23.88,67.06,350
22:32,23.83,67.2,350
22:33,23.78,67.34,350
22:34,23.78,67.28,350
22:35,23.8,67.25,350
22:36,23.74,67.39,350
22:37,23.65,67.57,350
22:38,23.6,67.74,350
22:39,23.59,67.52,350
22:40,23.68,67.21,350
22:41,23.68,67.11,350
22:42,23.63,67.33,350
22:43,23.57,67.54,350
22:44,23.53,67.51,350
22:45,23.53,67.46,350
22:46,23.57,67.41,350
22:47,23.52,67.51,350
22:48,23.45,67.53,350
22:49,23.45,67.51,350
22:50,23.45,67.6,350
22:51,23.46,67.65,350
22:52,23.41,67.6,350
22:53,23.42,67.53,350
22:54,23.44,67.32,350
22:55,23.49,67.21,350
22:56,23.51,67.15,350
22:57,23.51,67.15,350
22:58,23.47,67.32,350
22:59,23.38,67.7,350
23:00,23.3,67.78,350
23:01,23.25,67.67,350
23:02,23.23,67.97,350
23:03,23.22,68.02,350
23:04,23.22,68,350
23:05,23.18,68.02,350
23:06,23.1,68.12,350
23:07,23.24,67.86,350
23:08,23.2,67.77,350
23:09,23.14,67.88,350
23:10,23.07,68.05,350
23:11,23.08,68.15,350
23:12,23.07,68.15,350
23:13,23.07,68.12,350
23:14,23.1,68.07,350
23:15,23.1,68.15,350
23:16,23.17,68.02,350
23:17,23.15,68.07,350
23:18,23.14,68.1,350
23:19,23.05,68.1,350
23:20,23.02,68.15,350
23:21,22.99,68.2,350
23:22,22.95,68.31,350
23:23,22.92,68.39,350
23:24,22.87,68.59,350
23:25,22.87,68.59,350
23:26,22.8,68.72,350
23:27,22.79,68.72,350
23:28,22.78,68.77,350
23:29,22.79,68.72,350
23:30,22.78,68.66,350
23:31,22.73,68.69,350
23:32,22.68,68.87,350
23:33,22.67,68.95,350
23:34,22.64,69.04,350
23:35,22.69,68.95,350
23:36,22.65,68.95,350
23:37,22.55,69.28,350
23:38,22.43,69.6,350
23:39,22.39,69.88,350
23:40,22.36,69.76,350
23:41,22.34,69.76,350
23:42,22.34,69.89,350
23:43,22.29,70.08,350
23:44,22.32,69.98,350
23:45,22.41,69.71,350
23:46,22.42,69.69,350
23:47,22.48,69.6,350
23:48,22.53,69.53,350
23:49,22.53,69.64,350
23:50,22.49,69.71,350
23:51,22.46,69.79,350
23:52,22.41,70.09,350
23:53,22.49,69.88,350
23:54,22.61,69.64,350
23:55,22.69,69.54,350
23:56,22.73,69.51,350
23:57,22.76,69.32,350
23:58,22.75,69.4,350
23:59,22.75,69.32,350
